source,source_type,mentions,countries,confidence
Central Bureau of Statistics,named (unclassified),1,1,medium
Prime Minister Giorgia Meloni,named (unclassified),1,1,medium
New Communist Party of Italy,named (unclassified),1,1,medium
Center for Documentation of Contemporary Judaism,named (unclassified),1,1,medium
Stand Up Jamaica,named (unclassified),1,1,medium
NGO Freedom Imaginaries,named (unclassified),1,1,medium
NGO Access Now,named (unclassified),1,1,medium
NGO Terre des Hommes,named (unclassified),1,1,medium
Terre des Hommes,named (unclassified),1,1,medium
PSD Human Rights and Transparency Office,named (unclassified),1,1,medium
Arab World Now (DAWN),named (unclassified),1,1,medium
international civil society organizations,unnamed/generic,1,1,low
Coalition Against Torture (CAT),named (unclassified),1,1,medium
Karaganda Region,named (unclassified),1,1,medium
Kenya National Commission on Human Rights (KNCHR),named (unclassified),1,1,medium
Interior Ministry,named (unclassified),1,1,medium
Media Council of Kenya,named (unclassified),1,1,medium
Defenders Coalition,named (unclassified),1,1,medium
Law Society of Kenya,named (unclassified),1,1,medium
Police Service Deputy Inspector General Eliud Kipkoech Lagat,named (unclassified),1,1,medium
Humanitarian Law Center in Kosovo,named (unclassified),1,1,medium
Humanitarian Law Center,named (unclassified),1,1,medium
Kosovo Police,named (unclassified),1,1,medium
Pressure The Association of Journalists in Kosovo (AJK),named (unclassified),1,1,medium
Ombudsperson Institution,named (unclassified),1,1,medium
Public Authority,named (unclassified),1,1,medium
Ministry of Interior,named (unclassified),1,1,medium
Arab Times Kuwait,named (unclassified),1,1,medium
IndustriALL Global Union,named (unclassified),1,1,medium
NGO Bir Duino,named (unclassified),1,1,medium
Prevent Torture,named (unclassified),1,1,medium
Ministry of Labor and Social Welfare,named (unclassified),1,1,medium
Radio Free Asia,named (unclassified),1,1,medium
State Border Guard,named (unclassified),1,1,medium
Samir Kassir Foundation,named (unclassified),1,1,medium
Linakeng Community Councilor Shao Sebeta,named (unclassified),1,1,medium
Liberia Labor Congress,named (unclassified),1,1,medium
UN Women,UN body,1,1,high
Libya Crimes Watch,named (unclassified),1,1,medium
Cairo Institute for Human Rights Studies,named (unclassified),1,1,medium
Tripoli-based ISA,named (unclassified),1,1,medium
UN Secretary General,named (unclassified),1,1,medium
National Democratic Institute,named (unclassified),1,1,medium
Liechtenstein Institute,named (unclassified),1,1,medium
State Labor Inspectorate,named (unclassified),1,1,medium
State Border Guard Service,named (unclassified),1,1,medium
Constitutional Court,named (unclassified),1,1,medium
NGO Research and Information on Anti-Semitism in Luxembourg (RIAL),named (unclassified),1,1,medium
UN Subcommittee on Prevention of Torture,named (unclassified),1,1,medium
Congress of Trade Unions,named (unclassified),1,1,medium
Department of Occupational Safety and Health,named (unclassified),1,1,medium
NGO Orchid Project,named (unclassified),1,1,medium
Although the National Union of Plantation Workers,named (unclassified),1,1,medium
Their Acts of Transnational Repression In October the Associated Press,named (unclassified),1,1,medium
Maldives Police Service (MPS),named (unclassified),1,1,medium
Human Rights Commission of Maldives (HRCM),named (unclassified),1,1,medium
