source,type,mentions_2023,mentions_2024,countries_2023,countries_2024,mention_delta,country_delta
Protect Journalists (CPJ),named (unclassified),1,0,1,0,-1,-1
Samir Kassir Foundation,named (unclassified),0,1,0,1,1,1
Terre des Hommes,named (unclassified),0,1,0,1,1,1
February the Ministry of Justice,named (unclassified),1,0,1,0,-1,-1
Protection of Rights Without Borders NGO,named (unclassified),1,0,1,0,-1,-1
Labor Act,named (unclassified),0,1,0,1,1,1
Independent Chinese PEN Center,named (unclassified),1,0,1,0,-1,-1
Center for Documentation of Contemporary Judaism,named (unclassified),0,1,0,1,1,1
NGO Fortify Rights,named (unclassified),1,0,1,0,-1,-1
Police Service Deputy Inspector General Eliud Kipkoech Lagat,named (unclassified),0,1,0,1,1,1
Federation for Women and Family Planning,named (unclassified),1,0,1,0,-1,-1
ROC Bar Association,named (unclassified),1,0,1,0,-1,-1
In January the South African Human Rights Commission (SAHRC),named (unclassified),0,1,0,1,1,1
NGO Regional Human Rights Advisory Foundation,named (unclassified),1,0,1,0,-1,-1
Radio Free Asia,named (unclassified),0,1,0,1,1,1
Lebanese Association for Democratic Elections,named (unclassified),1,0,1,0,-1,-1
Human Rights NGO Forum,named (unclassified),1,0,1,0,-1,-1
Association of Journalists in Kosovo (AJK),named (unclassified),1,0,1,0,-1,-1
Iran International,named (unclassified),0,1,0,1,1,1
While the HRC and NSHR,named (unclassified),1,0,1,0,-1,-1
Confederation (ADEDY),named (unclassified),0,1,0,1,1,1
INTERSOS Greece,named (unclassified),1,0,1,0,-1,-1
Environmental NGOs,named (unclassified),1,0,1,0,-1,-1
Special Rapporteur for Freedom of Expression Pedro Vaca Villarreal,named (unclassified),0,1,0,1,1,1
Jewish Community in Belgrade,named (unclassified),1,0,1,0,-1,-1
National Human Rights Commission,named (unclassified),1,2,1,2,1,1
Center for Information and Documentation Israel,named (unclassified),0,1,0,1,1,1
Micheál Martin,named (unclassified),0,1,0,1,1,1
Law Society of Kenya,named (unclassified),0,1,0,1,1,1
Diosdado Cabello Rondón and Rico,named (unclassified),0,1,0,1,1,1
Justice for Yemen Pact,named (unclassified),0,1,0,1,1,1
Institute for Public Health,named (unclassified),1,0,1,0,-1,-1
NGO Sisterhood Is Global Institute,named (unclassified),1,0,1,0,-1,-1
Lighthouse Reports,named (unclassified),1,0,1,0,-1,-1
Spanish NGOs,named (unclassified),1,0,1,0,-1,-1
Office and State Statistics Service,named (unclassified),1,0,1,0,-1,-1
UN Special Rapporteur on Human Rights Defenders Mary Lawlor,named (unclassified),0,1,0,1,1,1
Office of Gender Equality and Equal Treatment,named (unclassified),1,0,1,0,-1,-1
Diaspora Simeon Oyono Angue,named (unclassified),1,0,1,0,-1,-1
District Court of Helsinki,named (unclassified),1,0,1,0,-1,-1
Ethiopian Human Rights Defenders Center (EHRDC),named (unclassified),0,1,0,1,1,1
Pirkanmaa District Court,named (unclassified),1,0,1,0,-1,-1
Radio Despertar,named (unclassified),0,1,0,1,1,1
Disabled (APD),named (unclassified),1,0,1,0,-1,-1
In April the Association of European Journalists (AEJ),named (unclassified),1,0,1,0,-1,-1
In January the Judicial Council (JC),named (unclassified),1,0,1,0,-1,-1
Gender Equality Council,named (unclassified),1,0,1,0,-1,-1
Georgian Trade Unions Confederation (GTUC),named (unclassified),0,1,0,1,1,1
NGO Muslims for Human Rights,named (unclassified),1,0,1,0,-1,-1
IranWire and The Guardian,named (unclassified),1,0,1,0,-1,-1
Faezeh Hashemi,named (unclassified),1,0,1,0,-1,-1
In August the Investigative Reporting Lab (IRL),named (unclassified),1,0,1,0,-1,-1
Association of Defense Attorneys,named (unclassified),1,0,1,0,-1,-1
Group of States Against Corruption (GRECO),named (unclassified),1,0,1,0,-1,-1
NGO Syrians for Truth and Justice,named (unclassified),2,1,2,1,-1,-1
NGO SOS-Woman Child Victims of Domestic Violence,named (unclassified),1,0,1,0,-1,-1
Human Rights Association,named (unclassified),0,1,0,1,1,1
Discrimination Fundación Ecuatoriana Equidad,named (unclassified),1,0,1,0,-1,-1
NGO Aid Organization for Refugees and Asylum Seekers in Israel (ASSAF),named (unclassified),1,0,1,0,-1,-1
In October the Supreme Court,named (unclassified),1,0,1,0,-1,-1
Igor Matovic,named (unclassified),1,0,1,0,-1,-1
Syrian Journalists,named (unclassified),1,0,1,0,-1,-1
IndustriALL Global Union,named (unclassified),0,1,0,1,1,1
Kuwait News Agency,named (unclassified),1,0,1,0,-1,-1
Mandela Center,named (unclassified),1,0,1,0,-1,-1
Court of Auditors,named (unclassified),1,0,1,0,-1,-1
Appeals Chamber,named (unclassified),1,0,1,0,-1,-1
NGO Bir Duino,named (unclassified),2,1,1,1,-1,0
Metro Center,named (unclassified),0,1,0,1,1,1
Skopje Basic PPO,named (unclassified),1,0,1,0,-1,-1
In September Eller,named (unclassified),1,0,1,0,-1,-1
Albanian Journalists Union (AJU),named (unclassified),1,0,1,0,-1,-1
Jewish Community in Denmark,named (unclassified),1,0,1,0,-1,-1
Representative Council of Jewish Institutions,named (unclassified),1,0,1,0,-1,-1
Hellenic Police and Coast Guard,named (unclassified),1,0,1,0,-1,-1
PWSL and DHRMGs,named (unclassified),1,0,1,0,-1,-1
Some HRDs,named (unclassified),1,0,1,0,-1,-1
In July the Prison Service,named (unclassified),1,0,1,0,-1,-1
Africa Centre for Media Excellence,named (unclassified),0,1,0,1,1,1
In May The Guardian,named (unclassified),0,1,0,1,1,1
Guinean Tribunal Court,named (unclassified),0,1,0,1,1,1
Professional Standards Unit (PSU),named (unclassified),1,0,1,0,-1,-1
MHRC and NGOs,named (unclassified),1,0,1,0,-1,-1
High Court of J&K,named (unclassified),1,0,1,0,-1,-1
Radio Free Europe,named (unclassified),0,1,0,1,1,1
Oman Daily,named (unclassified),0,1,0,1,1,1
General Department of Immigration,named (unclassified),1,0,1,0,-1,-1
Civic Initiative on Internet Policy,named (unclassified),1,0,1,0,-1,-1
NGO in Banteay Meanchey Province,named (unclassified),1,0,1,0,-1,-1
National Penitentiary Institute,named (unclassified),1,0,1,0,-1,-1
South African Jewish Board of Deputies (SAJBD),named (unclassified),0,1,0,1,1,1
Charges Several NGOs,named (unclassified),0,1,0,1,1,1
Gays and Lesbians Accepted in Society Foundation in March,named (unclassified),1,0,1,0,-1,-1
Immigration Office,named (unclassified),1,0,1,0,-1,-1
Electoral Supreme Court,named (unclassified),1,0,1,0,-1,-1
NGO Institute for Market Economics,named (unclassified),1,0,1,0,-1,-1
Northwest Region Governor Adolphe Lele Lafrique,named (unclassified),1,0,1,0,-1,-1
Gender Equality Bureau Survey,named (unclassified),1,0,1,0,-1,-1
Indigenous Peoples OHCHR,named (unclassified),1,0,1,0,-1,-1
NGO Haitian National Human Rights Defense Network,named (unclassified),1,0,1,0,-1,-1
Societies Act,named (unclassified),1,0,1,0,-1,-1
Together for Justice,named (unclassified),0,1,0,1,1,1
Ciudad Juárez,named (unclassified),1,0,1,0,-1,-1
Libertas Press,named (unclassified),0,1,0,1,1,1
NK News,named (unclassified),0,1,0,1,1,1
National Search Commission,named (unclassified),1,0,1,0,-1,-1
Brazilian Forum on Public Security,named (unclassified),0,1,0,1,1,1
NGO Doctors Without Borders (MSF),named (unclassified),0,1,0,1,1,1
Center for Analysis and Research in Human Rights,named (unclassified),1,0,1,0,-1,-1
Confederation of Indigenous Nationalities of Ecuador,named (unclassified),1,0,1,0,-1,-1
Sanma Province,named (unclassified),1,0,1,0,-1,-1
Situation of Human Rights in Iran,named (unclassified),0,1,0,1,1,1
Some IDPs,named (unclassified),1,0,1,0,-1,-1
Net Report,named (unclassified),1,0,1,0,-1,-1
NGO Freedom for Eurasia,named (unclassified),1,0,1,0,-1,-1
National Mechanism,named (unclassified),1,0,1,0,-1,-1
Ministry of Gender Equality and Family,named (unclassified),1,0,1,0,-1,-1
Department of Labour,named (unclassified),0,1,0,1,1,1
Washington D.C.-based National Union for Democracy in Iran,named (unclassified),1,0,1,0,-1,-1
World Press Freedom Index,named (unclassified),1,2,1,1,1,0
Khaled Pirzadeh,named (unclassified),1,0,1,0,-1,-1
NGO ElectHER,named (unclassified),1,0,1,0,-1,-1
Bureau of Statistic,named (unclassified),1,0,1,0,-1,-1
Belete Kassa,named (unclassified),0,1,0,1,1,1
Euro-Med Human Rights Monitor,named (unclassified),1,0,1,0,-1,-1
COSCEL-CI and CIVIS,named (unclassified),1,0,1,0,-1,-1
Black Alliance for Just Immigration,named (unclassified),1,0,1,0,-1,-1
Registrar General,named (unclassified),1,0,1,0,-1,-1
Zambia Police Service,named (unclassified),1,0,1,0,-1,-1
National Pension Scheme Authority,named (unclassified),1,0,1,0,-1,-1
Ministry of Interior Border Guards,named (unclassified),1,0,1,0,-1,-1
President Boluarte,named (unclassified),1,0,1,0,-1,-1
Occupational Safety and Health No,named (unclassified),0,1,0,1,1,1
Ministry for Citizen Protection,named (unclassified),1,0,1,0,-1,-1
Oswaldo Cruz Foundation,named (unclassified),1,0,1,0,-1,-1
Prothom Alo,named (unclassified),1,0,1,0,-1,-1
Salish Kendra (ASK),named (unclassified),1,1,1,1,0,0
Jerusalem Post,named (unclassified),1,1,1,1,0,0
Baath Party,named (unclassified),1,1,1,1,0,0
Iranian National Tax Administration,named (unclassified),1,1,1,1,0,0
Central African Republic (MINUSCA),named (unclassified),1,1,1,1,0,0
NGO Equidem,named (unclassified),1,1,1,1,0,0
Small Arms Survey,named (unclassified),1,1,1,1,0,0
Labor Inspectors Union,named (unclassified),1,1,1,1,0,0
Human Rights Council of Balochistan,named (unclassified),1,1,1,1,0,0
Ethiopia Insider,named (unclassified),1,1,1,1,0,0
NGO Informal Sector Service Center,named (unclassified),1,1,1,1,0,0
Jewish Community of Moldova,named (unclassified),1,1,1,1,0,0
Inter-American Development Bank,named (unclassified),1,1,1,1,0,0
General Statistics Office of Vietnam,named (unclassified),1,1,1,1,0,0
Confederation of Trade Unions in Myanmar,named (unclassified),1,1,1,1,0,0
Trades Union Congress,named (unclassified),2,2,1,1,0,0
Protect Freedom of Expression,named (unclassified),1,1,1,1,0,0
National Employment Policy and Strategy of Ethiopia,named (unclassified),1,1,1,1,0,0
United Kingdom,named (unclassified),1,1,1,1,0,0
Alliance of Independent Journalists,named (unclassified),2,2,1,1,0,0
UN Working Group on Arbitrary Detention,named (unclassified),2,2,1,2,0,1
Human Rights Commission of Sri Lanka (HRCSL),named (unclassified),1,1,1,1,0,0
Syrian Arab Republic,named (unclassified),1,1,1,1,0,0
World Report,named (unclassified),1,1,1,1,0,0
International Trade Union Confederation (ITUC),named (unclassified),1,1,1,1,0,0
White Paper,named (unclassified),2,2,1,1,0,0
Central Bureau of Statistics,named (unclassified),1,1,1,1,0,0
Free Media Help Line,named (unclassified),1,1,1,1,0,0
Observers and NGOs,named (unclassified),2,2,2,2,0,0
Cairo Institute for Human Rights Studies,named (unclassified),1,1,1,1,0,0
State Border Guard Service,named (unclassified),1,1,1,1,0,0
General Directorate of Prisons (GDP),named (unclassified),1,1,1,1,0,0
SOS Torture Burundi,named (unclassified),1,1,1,1,0,0
PSD Human Rights and Transparency Office,named (unclassified),1,1,1,1,0,0
Human Rights Commission of Maldives (HRCM),named (unclassified),1,1,1,1,0,0
Constitutional Court,named (unclassified),1,1,1,1,0,0
Health and Work Safety Assembly,named (unclassified),1,1,1,1,0,0
Ministry of Oceans and Fisheries,named (unclassified),1,1,1,1,0,0
Yemeni Journalists Syndicate,named (unclassified),1,1,1,1,0,0
Bulgarian Industrial Capital Association,named (unclassified),1,1,1,1,0,0
Press Freedom Advocacy Association,named (unclassified),1,1,1,1,0,0
Secretary-General for Children and Armed Conflict,named (unclassified),1,1,1,1,0,0
Digital Forensic Center,named (unclassified),1,1,1,1,0,0
Al Jazeera,named (unclassified),2,2,2,2,0,0
Humanitarian Law Center in Kosovo,named (unclassified),1,1,1,1,0,0
Captive and Missing,named (unclassified),1,1,1,1,0,0
Study of Latin America,named (unclassified),1,1,1,1,0,0
Office on Missing Persons (OMP),named (unclassified),1,1,1,1,0,0
Guyanese Bureau of Statistics,named (unclassified),1,1,1,1,0,0
NGO Center for Research and Popular Education (CINEP),named (unclassified),1,1,1,1,0,0
NGO PEN America,named (unclassified),1,1,1,1,0,0
World Organization Against Torture (OMCT),named (unclassified),1,1,1,1,0,0
Ministry of Reintegration,named (unclassified),1,1,1,1,0,0
Ministry of Unification,named (unclassified),1,1,1,1,0,0
UN Subcommittee on Prevention of Torture,named (unclassified),1,1,1,1,0,0
High Commissioner for Human Rights (OHCHR),named (unclassified),3,3,3,3,0,0
Belarusian Association of Journalists,named (unclassified),1,1,1,1,0,0
Report on North Korea Human Rights,named (unclassified),1,1,1,1,0,0
Security Service,named (unclassified),1,1,1,1,0,0
NGO Platform for Labor Action (PLA),named (unclassified),1,1,1,1,0,0
Kosovo Police,named (unclassified),1,1,1,1,0,0
Jewish Community Center,named (unclassified),1,1,1,1,0,0
Vendors Initiative for Sustainable Economic Transformation,named (unclassified),1,1,1,1,0,0
Department of Occupational Safety and Health,named (unclassified),1,1,1,1,0,0
Liechtenstein Institute,named (unclassified),1,1,1,1,0,0
UN Human Rights Council Working Group on Arbitrary Detention,named (unclassified),1,1,1,1,0,0
Bermuda Police Service,named (unclassified),1,1,1,1,0,0
UN High Commissioner for Refugees,named (unclassified),1,1,1,1,0,0
Labour Program,named (unclassified),1,1,1,1,0,0
African Futures,named (unclassified),1,1,1,1,0,0
Slovak Republic,named (unclassified),1,1,1,1,0,0
Ministry of Labor and Social Welfare,named (unclassified),1,1,1,1,0,0
NGO Release International,named (unclassified),1,1,1,1,0,0
NGO Civic Alliance,named (unclassified),1,1,1,1,0,0
Ethiopian Human Rights Council (EHRCO),named (unclassified),1,1,1,1,0,0
Association of Journalists of Guatemala,named (unclassified),1,1,1,1,0,0
National Police Agency,named (unclassified),1,1,1,1,0,0
Freedom of Association,named (unclassified),1,1,1,1,0,0
Sudanese Journalists Syndicate,named (unclassified),1,1,1,1,0,0
Country Report,named (unclassified),1,1,1,1,0,0
Chinese Marriage Act,named (unclassified),1,1,1,1,0,0
NGO Terre des Hommes,named (unclassified),1,1,1,1,0,0
UN Commission on Human Rights in South Sudan,named (unclassified),3,3,1,1,0,0
Kenya National Commission on Human Rights (KNCHR),named (unclassified),1,1,1,1,0,0
Europe-based NGO Human Rights Monitor (HRM),named (unclassified),1,1,1,1,0,0
National Institute of Statistics,named (unclassified),2,2,2,2,0,0
National Israel Council,named (unclassified),1,1,1,1,0,0
Zimbabwe Economic Policy Analysis and Research Unit,named (unclassified),1,1,1,1,0,0
International Transport Workers Federation,named (unclassified),1,1,1,1,0,0
Humanitarian Law Center,named (unclassified),1,1,1,1,0,0
Spain-based NGO Prisoners Defenders,named (unclassified),1,1,1,1,0,0
NGO Thai Lawyers for Human Rights,named (unclassified),1,1,1,1,0,0
Qatar University,named (unclassified),1,1,1,1,0,0
UN Development Program,named (unclassified),1,1,1,1,0,0
C NGOs,named (unclassified),1,1,1,1,0,0
Prisoners of Conscience,named (unclassified),1,1,1,1,0,0
Statistics Norway,named (unclassified),1,1,1,1,0,0
Although the National Union of Plantation Workers,named (unclassified),1,1,1,1,0,0
Center for Natural Resource Governance,named (unclassified),1,1,1,1,0,0
Attorney General,named (unclassified),1,1,1,1,0,0
Prime Minister,named (unclassified),1,1,1,1,0,0
UN Group of Experts,named (unclassified),1,1,1,1,0,0
UN Committee Against Torture,named (unclassified),1,1,1,1,0,0
Congress of Trade Unions,named (unclassified),1,1,1,1,0,0
Ministry of Communication,named (unclassified),1,1,1,1,0,0
Korea Future,named (unclassified),1,1,1,1,0,0
Ligue Iteka,named (unclassified),4,4,1,1,0,0
Antitorture Prosecution Office,named (unclassified),1,1,1,1,0,0
Washington Post,named (unclassified),2,2,2,2,0,0
Statistical Service,named (unclassified),1,1,1,1,0,0
General Police Inspectorate,named (unclassified),1,1,1,1,0,0
