source,type,mentions_2023,mentions_2024,countries_2023,countries_2024,mention_delta,country_delta
UN Group of Human Rights Experts on Nicaragua,named (unclassified),0,1,0,1,1,1
State of São Paulo (FISESP),named (unclassified),0,1,0,1,1,1
Coalition Against Torture (CAT),named (unclassified),0,1,0,1,1,1
Pressure The Globe International Center,named (unclassified),0,1,0,1,1,1
Yemen Policy Center,named (unclassified),1,0,1,0,-1,-1
Union of Poles,named (unclassified),1,0,1,0,-1,-1
Parbatya Chattagram Jana Samhati Samiti (PCJSS),named (unclassified),1,0,1,0,-1,-1
Integrity Watch Liberia,named (unclassified),1,0,1,0,-1,-1
Iraqi Bar Association,named (unclassified),0,1,0,1,1,1
Ministry of Social Development and Human Security,named (unclassified),1,0,1,0,-1,-1
Qurium Media Foundation,named (unclassified),1,0,1,0,-1,-1
Office for Democratic Institutions and Human Rights,named (unclassified),0,1,0,1,1,1
UN Commission,named (unclassified),1,0,1,0,-1,-1
Karenni Human Rights Group,named (unclassified),1,0,1,0,-1,-1
Human Rights and Transparency Office,named (unclassified),1,0,1,0,-1,-1
Rights and Development,named (unclassified),1,0,1,0,-1,-1
Missing in Sednaya Prison,named (unclassified),1,0,1,0,-1,-1
In May the Center for Migration and Rights Studies,named (unclassified),1,0,1,0,-1,-1
Stand Up Jamaica,named (unclassified),0,1,0,1,1,1
Anti-corruption NGOs,named (unclassified),1,0,1,0,-1,-1
VPride Foundation,named (unclassified),1,0,1,0,-1,-1
Observatory for Rights and Justice of Ecuador,named (unclassified),0,1,0,1,1,1
In September OAM,named (unclassified),1,0,1,0,-1,-1
Korean Institute for National Unification (KINU),named (unclassified),0,1,0,1,1,1
While the LAF,named (unclassified),1,0,1,0,-1,-1
Undersecretary of Human Rights Alejandro Encinas,named (unclassified),1,0,1,0,-1,-1
NGO Living All Inclusive in Belau (LAIIB),named (unclassified),1,0,1,0,-1,-1
Discrimination Press,named (unclassified),1,0,1,0,-1,-1
Yemeni Journalists Syndicate in Aden,named (unclassified),1,0,1,0,-1,-1
FTUK Chair Satybaldy Dauletallin,named (unclassified),1,0,1,0,-1,-1
National AIDS Commission,named (unclassified),1,0,1,0,-1,-1
Mozambican Network of Human Rights Defenders,named (unclassified),1,0,1,0,-1,-1
Transitional Authority (TA),named (unclassified),0,1,0,1,1,1
André Ventura,named (unclassified),0,1,0,1,1,1
One NGO in Durban,named (unclassified),1,0,1,0,-1,-1
Roberto Lissassi,named (unclassified),0,1,0,1,1,1
Oman Human Rights Commission,named (unclassified),0,1,0,1,1,1
Auditor General of Canada,named (unclassified),1,0,1,0,-1,-1
Minister Athawale,named (unclassified),1,0,1,0,-1,-1
Washington University,named (unclassified),1,0,1,0,-1,-1
Department for Equal Opportunity,named (unclassified),1,0,1,0,-1,-1
NGO Save the Children,named (unclassified),1,0,1,0,-1,-1
Human Rights Commission of Pakistan (HRCP),named (unclassified),1,0,1,0,-1,-1
State Commission for Prevention of Corruption (SCPC),named (unclassified),1,0,1,0,-1,-1
Congo Handicap,named (unclassified),1,0,1,0,-1,-1
Police Public Complaints Commission,named (unclassified),0,1,0,1,1,1
NGO Christian Solidarity Worldwide,named (unclassified),1,0,1,0,-1,-1
Molale District,named (unclassified),0,1,0,1,1,1
NGO Iran Human Rights,named (unclassified),0,1,0,1,1,1
United Church in Hela Province,named (unclassified),1,0,1,0,-1,-1
Shenzhen City,named (unclassified),1,0,1,0,-1,-1
Acrux Partners,named (unclassified),1,0,1,0,-1,-1
Defense for Children International Sierra Leone (DCISL),named (unclassified),0,1,0,1,1,1
Ministry of Communications,named (unclassified),1,0,1,0,-1,-1
General Directorate of State Police,named (unclassified),1,0,1,0,-1,-1
Giza Governorate,named (unclassified),1,0,1,0,-1,-1
Use of Lethal Force (MUFLVEN),named (unclassified),0,1,0,1,1,1
Kewet District,named (unclassified),0,1,0,1,1,1
In May the NGO Center for Media Freedom and Responsibility,named (unclassified),0,1,0,1,1,1
Caixin Global,named (unclassified),1,0,1,0,-1,-1
Eswatini Observer,named (unclassified),1,0,1,0,-1,-1
UN Office,named (unclassified),1,0,1,0,-1,-1
Amman Public Prosecutor,named (unclassified),1,0,1,0,-1,-1
Twelver Shia Islam,named (unclassified),1,0,1,0,-1,-1
Minister of Health Zuzana Dolinkova,named (unclassified),1,0,1,0,-1,-1
Special Investigation Committee (SIC),named (unclassified),1,0,1,0,-1,-1
NGOs SOMOS GAY and Panambi,named (unclassified),1,0,1,0,-1,-1
Euro-Mediterranean Human Rights Monitor,named (unclassified),1,0,1,0,-1,-1
Minister of War Veteran Affairs Tomo Medved,named (unclassified),0,1,0,1,1,1
Attorney General Mulilo Kabesha,named (unclassified),1,0,1,0,-1,-1
Coordinator for Humanitarian Affairs (OCHA),named (unclassified),1,0,1,0,-1,-1
Declaration and Audit of Assets and Conflict of Interest,named (unclassified),1,0,1,0,-1,-1
NGO SOS,named (unclassified),1,0,1,0,-1,-1
Coalition of Safe Public Space,named (unclassified),1,0,1,0,-1,-1
National Institute for Refugee Support,named (unclassified),1,0,1,0,-1,-1
Investigations Police of Chile,named (unclassified),1,0,1,0,-1,-1
Superior Council of Magistrates,named (unclassified),1,0,1,0,-1,-1
Africa Center for Justice and Peace Studies,named (unclassified),1,0,1,0,-1,-1
Observation Group,named (unclassified),1,0,1,0,-1,-1
In March the RFA,named (unclassified),1,0,1,0,-1,-1
Center for Social Group Development,named (unclassified),1,0,1,0,-1,-1
Liberia Labor Congress,named (unclassified),0,1,0,1,1,1
Exploited Children,named (unclassified),1,0,1,0,-1,-1
Indian Psychiatric Society,named (unclassified),1,0,1,0,-1,-1
Inhambane Province,named (unclassified),1,0,1,0,-1,-1
Bosnia and Herzegovina Journalists Association (BHJA),named (unclassified),0,1,0,1,1,1
Disabilities Foundation,named (unclassified),1,0,1,0,-1,-1
Finnish Intelligence Service,named (unclassified),1,0,1,0,-1,-1
Singapore Muslim Women,named (unclassified),1,0,1,0,-1,-1
Convening for Equality,named (unclassified),1,0,1,0,-1,-1
General Court in Holbaek,named (unclassified),1,0,1,0,-1,-1
International Community (BIC),named (unclassified),1,0,1,0,-1,-1
Economic Community of Central African States Observer Mission,named (unclassified),1,0,1,0,-1,-1
Application of Standards,named (unclassified),1,2,1,1,1,0
Doctors Without Borders,named (unclassified),1,0,1,0,-1,-1
NUP and FDC,named (unclassified),1,0,1,0,-1,-1
Labor Inspectorate,named (unclassified),2,1,2,1,-1,-1
Karen Vanessa Chavarria Morales,named (unclassified),1,0,1,0,-1,-1
BBC Brasil,named (unclassified),1,0,1,0,-1,-1
NGO Fundaredes,named (unclassified),0,1,0,1,1,1
Social Change Benin,named (unclassified),1,0,1,0,-1,-1
Agency for Financial Control and Combating Corruption,named (unclassified),1,0,1,0,-1,-1
Union of Journalists of Free Press of Africa,named (unclassified),0,1,0,1,1,1
Coalition for Human Rights and Democracy,named (unclassified),0,1,0,1,1,1
Antisemitism The Confederation of Israelite Associations in Venezuela,named (unclassified),1,0,1,0,-1,-1
September the HRW,named (unclassified),1,0,1,0,-1,-1
Prisoners of Conscience and SANAD,named (unclassified),1,0,1,0,-1,-1
National Court,named (unclassified),1,0,1,0,-1,-1
National Independent Human Rights Commission (CNIDH),named (unclassified),1,0,1,0,-1,-1
Pan American Health Organization,named (unclassified),1,0,1,0,-1,-1
Association of Guinean Bloggers,named (unclassified),1,0,1,0,-1,-1
Roma Life Mehmet Daimagueler,named (unclassified),1,0,1,0,-1,-1
Middle East Eye,named (unclassified),1,2,1,1,1,0
Disabilities Association,named (unclassified),1,0,1,0,-1,-1
United Kingdom-based,named (unclassified),1,0,1,0,-1,-1
NGO Research and Information on Anti-Semitism in Luxembourg,named (unclassified),1,0,1,0,-1,-1
Institute for Social Well-Being and Research,named (unclassified),1,0,1,0,-1,-1
Serb National Council (SNV),named (unclassified),1,0,1,0,-1,-1
Center for Human Rights Development,named (unclassified),1,0,1,0,-1,-1
In June the Human Rights Commission,named (unclassified),1,0,1,0,-1,-1
Bolívar State,named (unclassified),1,0,1,0,-1,-1
State Secretary Eric,named (unclassified),1,0,1,0,-1,-1
In March the Institute for Market Economics,named (unclassified),1,0,1,0,-1,-1
CICPC Director Douglas Rico,named (unclassified),0,1,0,1,1,1
NGO Institute for Public Affairs,named (unclassified),1,0,1,0,-1,-1
NGO Independent Medico-Legal Unit (IMLU),named (unclassified),1,0,1,0,-1,-1
South Asia Terrorism Portal,named (unclassified),1,0,1,0,-1,-1
National Social Security Institute,named (unclassified),1,0,1,0,-1,-1
Melki Sedek Huang,named (unclassified),1,0,1,0,-1,-1
Fair Square,named (unclassified),1,0,1,0,-1,-1
International Commission on Missing Persons,named (unclassified),1,0,1,0,-1,-1
Oslo Synagogue,named (unclassified),0,1,0,1,1,1
UN Civilian Impact Monitoring Project (CIMP),named (unclassified),1,0,1,0,-1,-1
Economist and DW,named (unclassified),0,1,0,1,1,1
Anti-Corruption Fund,named (unclassified),1,0,1,0,-1,-1
Reproductive and Sexual Health Observatory,named (unclassified),1,0,1,0,-1,-1
Russian Jewish Congress,named (unclassified),0,1,0,1,1,1
FP2030 Track20 Family Planning Estimation Tool,named (unclassified),1,0,1,0,-1,-1
Family in Turkmenistan,named (unclassified),1,0,1,0,-1,-1
Dmytro Ivanytskyy,named (unclassified),1,0,1,0,-1,-1
Platform for Peace,named (unclassified),1,0,1,0,-1,-1
Prevention of Torture (NCPT),named (unclassified),1,0,1,0,-1,-1
Federation of Jewish Communities,named (unclassified),1,0,1,0,-1,-1
Federal Anti-Discrimination Agency,named (unclassified),0,1,0,1,1,1
Transgender Europe,named (unclassified),1,0,1,0,-1,-1
Union of Jewish Communities,named (unclassified),0,1,0,1,1,1
Television and Theater Review Journal,named (unclassified),1,0,1,0,-1,-1
General Delegation for Prison Administration and Reintegration (DGAPR),named (unclassified),1,0,1,0,-1,-1
Blogger Abdukodir Muminov,named (unclassified),1,0,1,0,-1,-1
Kilinochchi Magistrate Court,named (unclassified),1,0,1,0,-1,-1
UN Secretary General,named (unclassified),0,1,0,1,1,1
Asylum Seeker Resource Center,named (unclassified),1,0,1,0,-1,-1
Nigerian Immigration Service,named (unclassified),0,1,0,1,1,1
Ministry of Social Welfare Affairs,named (unclassified),1,0,1,0,-1,-1
Ho Chi Minh City Legal News,named (unclassified),0,1,0,1,1,1
Turkish Cypriots,named (unclassified),2,1,1,1,-1,0
NGO Aide Infos Liberte Solidarite,named (unclassified),1,0,1,0,-1,-1
Andre Spring,named (unclassified),1,0,1,0,-1,-1
Center for Independent Life,named (unclassified),1,0,1,0,-1,-1
Institute for Human Rights,named (unclassified),1,0,1,0,-1,-1
International Observatory of Lawyers,named (unclassified),1,0,1,0,-1,-1
International Organization of Migration,named (unclassified),1,0,1,0,-1,-1
State Duma Committee on Foreign Interference,named (unclassified),1,0,1,0,-1,-1
Syria Justice and Accountability Center (SJAC),named (unclassified),1,0,1,0,-1,-1
Disabilities (ZAPD),named (unclassified),1,0,1,0,-1,-1
Karaganda Region,named (unclassified),0,1,0,1,1,1
Auditor General,named (unclassified),1,0,1,0,-1,-1
Although NGOs,named (unclassified),1,0,1,0,-1,-1
Prime Minister Giorgia Meloni,named (unclassified),0,1,0,1,1,1
NGO MENA Rights Group,named (unclassified),0,1,0,1,1,1
Malaysian Bar Council,named (unclassified),1,0,1,0,-1,-1
Makarios Drousiotis,named (unclassified),1,0,1,0,-1,-1
Sphere Foundation,named (unclassified),1,0,1,0,-1,-1
Office (PPO),named (unclassified),1,0,1,0,-1,-1
EU Monitoring Mission in Georgia,named (unclassified),0,1,0,1,1,1
Izhevsk Boom,named (unclassified),0,1,0,1,1,1
Public Defender and GYLA,named (unclassified),1,0,1,0,-1,-1
Local NGO Center for Human Rights and Development,named (unclassified),0,1,0,1,1,1
Myanmar Now,named (unclassified),1,0,1,0,-1,-1
EHRC in July,named (unclassified),1,0,1,0,-1,-1
Protection for Whistleblowers in Africa,named (unclassified),1,0,1,0,-1,-1
Minister of Construction,named (unclassified),1,0,1,0,-1,-1
Labrys Public Foundation,named (unclassified),1,0,1,0,-1,-1
Media Trade Union,named (unclassified),2,1,1,1,-1,0
National Union of Somali Journalists,named (unclassified),1,0,1,0,-1,-1
HRCSL and Prison Watch Sierra Leone (PWSL),named (unclassified),1,0,1,0,-1,-1
In June the UN,named (unclassified),1,0,1,0,-1,-1
Pulchérie Gbalet,named (unclassified),1,0,1,0,-1,-1
El Diario de Hoy,named (unclassified),1,0,1,0,-1,-1
Central Election Commission,named (unclassified),1,0,1,0,-1,-1
COI in March and September,named (unclassified),1,0,1,0,-1,-1
Child in April,named (unclassified),0,1,0,1,1,1
In January the Court of Appeal,named (unclassified),1,0,1,0,-1,-1
Media Advocacy Coalition,named (unclassified),1,0,1,0,-1,-1
Worker Rights Consortium,named (unclassified),1,0,1,0,-1,-1
Ministry of Security,named (unclassified),1,0,1,0,-1,-1
Extractive Industries Transparency Initiative,named (unclassified),0,1,0,1,1,1
Corruption Research Center Budapest,named (unclassified),1,0,1,0,-1,-1
Deputy Prime Minister and Foreign Minister Ishaq Dar,named (unclassified),0,1,0,1,1,1
Foreign Ministry,named (unclassified),1,0,1,0,-1,-1
Australian Bureau of Statistics,named (unclassified),1,0,1,0,-1,-1
National Development Plan,named (unclassified),1,0,1,0,-1,-1
Bahia and Maranhão,named (unclassified),1,0,1,0,-1,-1
Independent and Transparent Judiciary,named (unclassified),1,0,1,0,-1,-1
In July the European Commission,named (unclassified),1,0,1,0,-1,-1
In March the NGO Centre for Independent Journalism,named (unclassified),1,0,1,0,-1,-1
Professional Standards Command,named (unclassified),1,0,1,0,-1,-1
Prisoners of Conscience and Sanad,named (unclassified),1,0,1,0,-1,-1
Trencin District Court,named (unclassified),1,0,1,0,-1,-1
Atlantic Council,named (unclassified),1,0,1,0,-1,-1
Grupo Globo,named (unclassified),1,0,1,0,-1,-1
Ministry of Defense,named (unclassified),0,1,0,1,1,1
Political Prisoners (CSPP),named (unclassified),1,0,1,0,-1,-1
COI and NGOs,named (unclassified),1,0,1,0,-1,-1
Kakwenza Rukirabashaija,named (unclassified),1,0,1,0,-1,-1
NGO National Association of Displaced Afro-descendants,named (unclassified),1,0,1,0,-1,-1
Swaziland National Association of Teachers,named (unclassified),0,1,0,1,1,1
Jesuit Migrant Service,named (unclassified),1,0,1,0,-1,-1
Knesset Yitzhak Pindrus of United Torah Judaism,named (unclassified),1,0,1,0,-1,-1
Progressive Forum,named (unclassified),0,1,0,1,1,1
Bangladesh Bureau of Statistics,named (unclassified),0,1,0,1,1,1
UGTT Spokesman Sami Tahri,named (unclassified),1,0,1,0,-1,-1
In September NGOs,named (unclassified),1,0,1,0,-1,-1
National Organization for Civil Registration,named (unclassified),1,0,1,0,-1,-1
In May the Single Step Foundation,named (unclassified),1,0,1,0,-1,-1
VE Sin Filtro,named (unclassified),1,0,1,0,-1,-1
Disability CSOs,named (unclassified),1,0,1,0,-1,-1
Radio M,named (unclassified),1,0,1,0,-1,-1
Avon and Somerset Police,named (unclassified),1,0,1,0,-1,-1
NGO Internal Displacement Monitoring Center,named (unclassified),1,0,1,0,-1,-1
Ernst Gefferie,named (unclassified),0,1,0,1,1,1
Animal Político,named (unclassified),1,0,1,0,-1,-1
Shin Bet,named (unclassified),1,0,1,0,-1,-1
Ronus Federation (RF),named (unclassified),0,1,0,1,1,1
Down Syndrome Association of Mongolia,named (unclassified),1,0,1,0,-1,-1
Human Rights Foundation of Monland,named (unclassified),0,1,0,1,1,1
New Arab and The Independent,named (unclassified),0,1,0,1,1,1
Ombudsman Annual Report,named (unclassified),1,0,1,0,-1,-1
NGO Orchid Project,named (unclassified),0,1,0,1,1,1
Israeli NGO Gisha,named (unclassified),1,0,1,0,-1,-1
NGO Working Group of Indigenous Minorities in Southern Africa,named (unclassified),1,0,1,0,-1,-1
National Human Rights Council,named (unclassified),0,1,0,1,1,1
Alexander Mataban,named (unclassified),0,1,0,1,1,1
Federation of Jewish Communities of Spain,named (unclassified),0,1,0,1,1,1
Association of Councilors of Bolivia,named (unclassified),1,0,1,0,-1,-1
Higher Commission for Planning (HCP),named (unclassified),1,0,1,0,-1,-1
NGO Database Center for North Korean Human Rights,named (unclassified),1,0,1,0,-1,-1
Prime Minister Rishi Sunak,named (unclassified),1,0,1,0,-1,-1
Authorities and NGOs,named (unclassified),1,0,1,0,-1,-1
National Civil Police (PNC),named (unclassified),1,0,1,0,-1,-1
National Statistics Committee,named (unclassified),1,0,1,0,-1,-1
NGO Forum for Justice,named (unclassified),1,0,1,0,-1,-1
Students Union,named (unclassified),0,1,0,1,1,1
Police Commissioner Kobi Shabtai,named (unclassified),1,0,1,0,-1,-1
Khatlon Regional Court,named (unclassified),0,1,0,1,1,1
Caribbean Financial Action Task Force,named (unclassified),1,0,1,0,-1,-1
President Tokayev,named (unclassified),1,0,1,0,-1,-1
Pendare Autana,named (unclassified),1,0,1,0,-1,-1
UN High Commissioner for Human Rights (OHCHR),named (unclassified),1,2,1,2,1,1
Child Protection League,named (unclassified),1,0,1,0,-1,-1
Coalition Against Torture,named (unclassified),1,0,1,0,-1,-1
Media Plurality Monitor,named (unclassified),1,0,1,0,-1,-1
